0,0,0
1,0.0063008,4484
2,0.013539,2158
3,0.020276,1402
4,0.027692,998
5,0.035919,779
6,0.041144,610
7,0.046523,504
8,0.054589,433
9,0.061738,396
10,0.077926,333
11,0.085603,279
12,0.095204,223
13,0.10624,179
14,0.10521,145
15,0.10773,119
16,0.12639,95
17,0.13829,86
18,0.14816,70
19,0.15309,61
20,0.17656,52
21,0.19729,49
22,0.18113,44
23,0.18761,38
24,0.20277,34
25,0.21083,30
26,0.25911,25
27,0.29929,22
28,0.25188,20
29,0.21191,18
30,0.24759,13
31,0.27315,8
32,0.37944,7
33,0.35125,7
34,0.37447,7
35,0.18455,6
